dependent_feature,independent_feature,formula,error,model_type
sleep_awakeDuration_log1p_resid,melatonin,sleep_awakeDuration_log1p_resid ~ melatonin + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,milkThistle,sleep_awakeDuration_log1p_resid ~ milkThistle + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 1.11% of the total N (outside 10-90% prevalence),linear
sleep_awakeDuration_log1p_resid,prebio,sleep_awakeDuration_log1p_resid ~ prebio + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.23% of the total N (outside 10-90% prevalence),linear
sleep_awakeDuration_log1p_resid,turmeric,sleep_awakeDuration_log1p_resid ~ turmeric + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.56% of the total N (outside 10-90% prevalence),linear
sleep_awakeningsCount_log1p_resid,melatonin,sleep_awakeningsCount_log1p_resid ~ melatonin + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeningsCount_log1p_resid,milkThistle,sleep_awakeningsCount_log1p_resid ~ milkThistle + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 0.82% of the total N (outside 10-90% prevalence),linear
sleep_awakeningsCount_log1p_resid,prebio,sleep_awakeningsCount_log1p_resid ~ prebio + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.04% of the total N (outside 10-90% prevalence),linear
sleep_awakeningsCount_log1p_resid,turmeric,sleep_awakeningsCount_log1p_resid ~ turmeric + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.59% of the total N (outside 10-90% prevalence),linear
sleep_efficiency_log1p_resid,melatonin,sleep_efficiency_log1p_resid ~ melatonin + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_efficiency_log1p_resid,milkThistle,sleep_efficiency_log1p_resid ~ milkThistle + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 0.82% of the total N (outside 10-90% prevalence),linear
sleep_efficiency_log1p_resid,prebio,sleep_efficiency_log1p_resid ~ prebio + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.04% of the total N (outside 10-90% prevalence),linear
sleep_efficiency_log1p_resid,turmeric,sleep_efficiency_log1p_resid ~ turmeric + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.59% of the total N (outside 10-90% prevalence),linear
sleep_minutesAfterWakeup_log1p_resid,melatonin,sleep_minutesAfterWakeup_log1p_resid ~ melatonin + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_minutesAfterWakeup_log1p_resid,milkThistle,sleep_minutesAfterWakeup_log1p_resid ~ milkThistle + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 0.82% of the total N (outside 10-90% prevalence),linear
sleep_minutesAfterWakeup_log1p_resid,prebio,sleep_minutesAfterWakeup_log1p_resid ~ prebio + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.04% of the total N (outside 10-90% prevalence),linear
sleep_minutesAfterWakeup_log1p_resid,turmeric,sleep_minutesAfterWakeup_log1p_resid ~ turmeric + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.59% of the total N (outside 10-90% prevalence),linear
sleep_minutesAsleep_log1p_resid,melatonin,sleep_minutesAsleep_log1p_resid ~ melatonin + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_minutesAsleep_log1p_resid,milkThistle,sleep_minutesAsleep_log1p_resid ~ milkThistle + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 1.11% of the total N (outside 10-90% prevalence),linear
sleep_minutesAsleep_log1p_resid,prebio,sleep_minutesAsleep_log1p_resid ~ prebio + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.23% of the total N (outside 10-90% prevalence),linear
sleep_minutesAsleep_log1p_resid,turmeric,sleep_minutesAsleep_log1p_resid ~ turmeric + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.56% of the total N (outside 10-90% prevalence),linear
sleep_minutesAwake_log1p_resid,melatonin,sleep_minutesAwake_log1p_resid ~ melatonin + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,milkThistle,sleep_minutesAwake_log1p_resid ~ milkThistle + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 1.21% of the total N (outside 10-90% prevalence),linear
sleep_minutesAwake_log1p_resid,prebio,sleep_minutesAwake_log1p_resid ~ prebio + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 1.81% of the total N (outside 10-90% prevalence),linear
sleep_minutesAwake_log1p_resid,turmeric,sleep_minutesAwake_log1p_resid ~ turmeric + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.21% of the total N (outside 10-90% prevalence),linear
sleep_restlessDuration_log1p_resid,melatonin,sleep_restlessDuration_log1p_resid ~ melatonin + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_restlessDuration_log1p_resid,milkThistle,sleep_restlessDuration_log1p_resid ~ milkThistle + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 1.11% of the total N (outside 10-90% prevalence),linear
sleep_restlessDuration_log1p_resid,prebio,sleep_restlessDuration_log1p_resid ~ prebio + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.23% of the total N (outside 10-90% prevalence),linear
sleep_restlessDuration_log1p_resid,turmeric,sleep_restlessDuration_log1p_resid ~ turmeric + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.56% of the total N (outside 10-90% prevalence),linear
sleep_timeInBed_log1p_resid,melatonin,sleep_timeInBed_log1p_resid ~ melatonin + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_timeInBed_log1p_resid,milkThistle,sleep_timeInBed_log1p_resid ~ milkThistle + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 1.21% of the total N (outside 10-90% prevalence),linear
sleep_timeInBed_log1p_resid,prebio,sleep_timeInBed_log1p_resid ~ prebio + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 1.81% of the total N (outside 10-90% prevalence),linear
sleep_timeInBed_log1p_resid,turmeric,sleep_timeInBed_log1p_resid ~ turmeric + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.21% of the total N (outside 10-90% prevalence),linear
sleep_awakeDuration_std_log1p_resid,melatonin,sleep_awakeDuration_std_log1p_resid ~ melatonin + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_std_log1p_resid,milkThistle,sleep_awakeDuration_std_log1p_resid ~ milkThistle + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 1.11% of the total N (outside 10-90% prevalence),linear
sleep_awakeDuration_std_log1p_resid,prebio,sleep_awakeDuration_std_log1p_resid ~ prebio + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.23% of the total N (outside 10-90% prevalence),linear
sleep_awakeDuration_std_log1p_resid,turmeric,sleep_awakeDuration_std_log1p_resid ~ turmeric + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(supp_meds_vendor) + fitbit_dip_minus_supp_meds_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,1s in INDEPENDENT variable make up 2.56% of the total N (outside 10-90% prevalence),linear
