feature_set,sleep_feature,n_splits,n_repeats,n_folds_total,n_samples_used,n_features_total,train_missing_rate_mean,train_missing_rate_sd,test_missing_rate_mean,test_missing_rate_sd,n_unique_cols_dropped_any_fold,n_total_drop_events,dropped_columns_any_fold
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,40,1469,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,40,1469,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,40,1469,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,40,898,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,40,497,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,40,497,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,40,497,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,40,497,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,40,1469,5,0.0,0.0,0.0,0.0,0,0,
supplement_features,bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,5,0.0,0.0,0.0,0.0,0,0,
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,16,0.29711996281982883,0.007662429283888573,0.2971308903769841,0.023007949276183406,0,0,
digestion_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,40,1469,16,0.23268332770818806,0.00568377782328985,0.2326795690306243,0.017040775225720176,0,0,
digestion_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,40,1469,16,0.23268332770818806,0.00568377782328985,0.2326795690306243,0.017040775225720176,0,0,
digestion_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,40,1469,16,0.23268332770818806,0.00568377782328985,0.2326795690306243,0.017040775225720176,0,0,
digestion_features,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,40,898,16,0.29711996281982883,0.007662429283888573,0.2971308903769841,0.023007949276183406,0,0,
digestion_features,sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,40,497,16,0.350604568451094,0.007561161332807912,0.3506120967741936,0.02268275786919548,0,0,
digestion_features,sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,16,0.29711996281982883,0.007662429283888573,0.2971308903769841,0.023007949276183406,0,0,
digestion_features,sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,40,497,16,0.350604568451094,0.007561161332807912,0.3506120967741936,0.02268275786919548,0,0,
digestion_features,sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,16,0.29711996281982883,0.007662429283888573,0.2971308903769841,0.023007949276183406,0,0,
digestion_features,sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,16,0.23268332770818806,0.00568377782328985,0.2326795690306243,0.017040775225720176,0,0,
digestion_features,sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,16,0.23268332770818806,0.00568377782328985,0.2326795690306243,0.017040775225720176,0,0,
digestion_features,sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,16,0.23268332770818806,0.00568377782328985,0.2326795690306243,0.017040775225720176,0,0,
digestion_features,sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,16,0.29711996281982883,0.007662429283888573,0.2971308903769841,0.023007949276183406,0,0,
digestion_features,sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,40,497,16,0.350604568451094,0.007561161332807912,0.3506120967741936,0.02268275786919548,0,0,
digestion_features,sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,16,0.29711996281982883,0.007662429283888573,0.2971308903769841,0.023007949276183406,0,0,
digestion_features,sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,40,497,16,0.350604568451094,0.007561161332807912,0.3506120967741936,0.02268275786919548,0,0,
digestion_features,bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,40,1469,16,0.23268332770818806,0.00568377782328985,0.2326795690306243,0.017040775225720176,0,0,
digestion_features,bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,16,0.23268332770818806,0.00568377782328985,0.2326795690306243,0.017040775225720176,0,0,
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,177,0.4766271223681818,0.002443738286669066,0.4766258435342122,0.007331003954145967,0,0,
CLR_microbe_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,40,1469,177,0.4651766802238244,0.001821612837536037,0.46517619370445706,0.0054648765938817775,0,0,
CLR_microbe_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,40,1469,177,0.4651766802238244,0.001821612837536037,0.46517619370445706,0.0054648765938817775,0,0,
CLR_microbe_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,40,1469,177,0.4651766802238244,0.001821612837536037,0.46517619370445706,0.0054648765938817775,0,0,
CLR_microbe_features,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,40,898,177,0.4766271223681818,0.002443738286669066,0.4766258435342122,0.007331003954145967,0,0,
CLR_microbe_features,sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,40,497,177,0.4778052067336672,0.003175360648308232,0.47780938582103155,0.009520246240849026,0,0,
CLR_microbe_features,sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,177,0.4766271223681818,0.002443738286669066,0.4766258435342122,0.007331003954145967,0,0,
CLR_microbe_features,sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,40,497,177,0.4778052067336672,0.003175360648308232,0.47780938582103155,0.009520246240849026,0,0,
CLR_microbe_features,sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,177,0.4766271223681818,0.002443738286669066,0.4766258435342122,0.007331003954145967,0,0,
CLR_microbe_features,sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,177,0.4651766802238244,0.001821612837536037,0.46517619370445706,0.0054648765938817775,0,0,
CLR_microbe_features,sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,177,0.4651766802238244,0.001821612837536037,0.46517619370445706,0.0054648765938817775,0,0,
CLR_microbe_features,sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,177,0.4651766802238244,0.001821612837536037,0.46517619370445706,0.0054648765938817775,0,0,
CLR_microbe_features,sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,177,0.4766271223681818,0.002443738286669066,0.4766258435342122,0.007331003954145967,0,0,
CLR_microbe_features,sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,40,497,177,0.4778052067336672,0.003175360648308232,0.47780938582103155,0.009520246240849026,0,0,
CLR_microbe_features,sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,177,0.4766271223681818,0.002443738286669066,0.4766258435342122,0.007331003954145967,0,0,
CLR_microbe_features,sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,40,497,177,0.4778052067336672,0.003175360648308232,0.47780938582103155,0.009520246240849026,0,0,
CLR_microbe_features,bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,40,1469,177,0.4651766802238244,0.001821612837536037,0.46517619370445706,0.0054648765938817775,0,0,
CLR_microbe_features,bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,177,0.4651766802238244,0.001821612837536037,0.46517619370445706,0.0054648765938817775,0,0,
microbe_presence_absence_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,40,1469,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,40,1469,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,40,1469,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,40,898,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,40,497,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,40,497,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,40,497,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,40,497,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,40,1469,154,0.0,0.0,0.0,0.0,0,0,
microbe_presence_absence_features,bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,154,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,40,1469,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,40,1469,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,40,1469,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,40,898,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,40,497,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,40,497,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,40,497,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,40,497,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,40,1469,3,0.0,0.0,0.0,0.0,0,0,
diversity_features,bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,3,0.0,0.0,0.0,0.0,0,0,
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,104,0.35294209068997456,0.0058602402855572186,0.35293932673229544,0.017580009276027864,0,0,
clinical_features_log1p,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,40,1469,104,0.39925063800781163,0.006297215069596732,0.3992462207984381,0.018888976462845243,0,0,
clinical_features_log1p,sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,40,1469,104,0.39925063800781163,0.006297215069596732,0.3992462207984381,0.018888976462845243,0,0,
clinical_features_log1p,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,40,1469,104,0.39925063800781163,0.006297215069596732,0.3992462207984381,0.018888976462845243,0,0,
clinical_features_log1p,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,40,898,104,0.35294209068997456,0.0058602402855572186,0.35293932673229544,0.017580009276027864,0,0,
clinical_features_log1p,sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,40,497,104,0.33848198747263397,0.007306493043497425,0.33848286591462096,0.022190326933189713,1,10,zinc_plasma_or_serum_log1p
clinical_features_log1p,sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,104,0.35294209068997456,0.0058602402855572186,0.35293932673229544,0.017580009276027864,0,0,
clinical_features_log1p,sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,40,497,104,0.33848198747263397,0.007306493043497425,0.33848286591462096,0.022190326933189713,1,10,zinc_plasma_or_serum_log1p
clinical_features_log1p,sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,104,0.35294209068997456,0.0058602402855572186,0.35293932673229544,0.017580009276027864,0,0,
clinical_features_log1p,sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,104,0.39925063800781163,0.006297215069596732,0.3992462207984381,0.018888976462845243,0,0,
clinical_features_log1p,sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,104,0.39925063800781163,0.006297215069596732,0.3992462207984381,0.018888976462845243,0,0,
clinical_features_log1p,sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,104,0.39925063800781163,0.006297215069596732,0.3992462207984381,0.018888976462845243,0,0,
clinical_features_log1p,sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,104,0.35294209068997456,0.0058602402855572186,0.35293932673229544,0.017580009276027864,0,0,
clinical_features_log1p,sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,40,497,104,0.33848198747263397,0.007306493043497425,0.33848286591462096,0.022190326933189713,1,10,zinc_plasma_or_serum_log1p
clinical_features_log1p,sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,104,0.35294209068997456,0.0058602402855572186,0.35293932673229544,0.017580009276027864,0,0,
clinical_features_log1p,sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,40,497,104,0.33848198747263397,0.007306493043497425,0.33848286591462096,0.022190326933189713,1,10,zinc_plasma_or_serum_log1p
clinical_features_log1p,bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,40,1469,104,0.39925063800781163,0.006297215069596732,0.3992462207984381,0.018888976462845243,0,0,
clinical_features_log1p,bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,104,0.39925063800781163,0.006297215069596732,0.3992462207984381,0.018888976462845243,0,0,
metabolite_features_log,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,1191,0.5366395489217975,0.0088618069297814,0.5366369838937535,0.026569589054082222,0,0,
metabolite_features_log,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,40,1469,1191,0.5820465781577516,0.0066790232821715935,0.5820395972076042,0.020026987298952557,0,0,
metabolite_features_log,sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,40,1469,1191,0.5820465781577516,0.0066790232821715935,0.5820395972076042,0.020026987298952557,0,0,
metabolite_features_log,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,40,1469,1191,0.5820465781577516,0.0066790232821715935,0.5820395972076042,0.020026987298952557,0,0,
metabolite_features_log,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,40,898,1191,0.5366395489217975,0.0088618069297814,0.5366369838937535,0.026569589054082222,0,0,
metabolite_features_log,sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,40,497,1191,0.5358849127701808,0.011727818842335421,0.5358815376073238,0.03517878769947597,0,0,
metabolite_features_log,sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,1191,0.5366395489217975,0.0088618069297814,0.5366369838937535,0.026569589054082222,0,0,
metabolite_features_log,sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,40,497,1191,0.5358849127701808,0.011727818842335421,0.5358815376073238,0.03517878769947597,0,0,
metabolite_features_log,sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,1191,0.5366395489217975,0.0088618069297814,0.5366369838937535,0.026569589054082222,0,0,
metabolite_features_log,sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,1191,0.5820465781577516,0.0066790232821715935,0.5820395972076042,0.020026987298952557,0,0,
metabolite_features_log,sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,1191,0.5820465781577516,0.0066790232821715935,0.5820395972076042,0.020026987298952557,0,0,
metabolite_features_log,sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,1191,0.5820465781577516,0.0066790232821715935,0.5820395972076042,0.020026987298952557,0,0,
metabolite_features_log,sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,1191,0.5366395489217975,0.0088618069297814,0.5366369838937535,0.026569589054082222,0,0,
metabolite_features_log,sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,40,497,1191,0.5358849127701808,0.011727818842335421,0.5358815376073238,0.03517878769947597,0,0,
metabolite_features_log,sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,1191,0.5366395489217975,0.0088618069297814,0.5366369838937535,0.026569589054082222,0,0,
metabolite_features_log,sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,40,497,1191,0.5358849127701808,0.011727818842335421,0.5358815376073238,0.03517878769947597,0,0,
metabolite_features_log,bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,40,1469,1191,0.5820465781577516,0.0066790232821715935,0.5820395972076042,0.020026987298952557,0,0,
metabolite_features_log,bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,1191,0.5820465781577516,0.0066790232821715935,0.5820395972076042,0.020026987298952557,0,0,
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,276,0.35503281175625523,0.008461769470625746,0.3550383741660915,0.02539539489618367,0,0,
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,40,1469,276,0.4095969495622905,0.007108981933011175,0.4095895775225392,0.021321019057477224,0,0,
proteomics_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,40,1469,276,0.4095969495622905,0.007108981933011175,0.4095895775225392,0.021321019057477224,0,0,
proteomics_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,40,1469,276,0.4095969495622905,0.007108981933011175,0.4095895775225392,0.021321019057477224,0,0,
proteomics_features,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,40,898,276,0.35503281175625523,0.008461769470625746,0.3550383741660915,0.02539539489618367,0,0,
proteomics_features,sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,40,497,276,0.32202794089906966,0.01067449137099634,0.32204050374006543,0.03202215751167255,0,0,
proteomics_features,sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,40,898,276,0.35503281175625523,0.008461769470625746,0.3550383741660915,0.02539539489618367,0,0,
proteomics_features,sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,40,497,276,0.32202794089906966,0.01067449137099634,0.32204050374006543,0.03202215751167255,0,0,
proteomics_features,sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,276,0.35503281175625523,0.008461769470625746,0.3550383741660915,0.02539539489618367,0,0,
proteomics_features,sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,276,0.4095969495622905,0.007108981933011175,0.4095895775225392,0.021321019057477224,0,0,
proteomics_features,sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,276,0.4095969495622905,0.007108981933011175,0.4095895775225392,0.021321019057477224,0,0,
proteomics_features,sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,40,1469,276,0.4095969495622905,0.007108981933011175,0.4095895775225392,0.021321019057477224,0,0,
proteomics_features,sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,40,898,276,0.35503281175625523,0.008461769470625746,0.3550383741660915,0.02539539489618367,0,0,
